"cust","prod","day","month","year","state","quant","date","credit"
"Dan","Ham",17,6,2016,"PA",825,"2016-06-17",True
"Claire","Fish",28,11,2016,"CT",84,"2016-11-28",False
"Dan","Apple",12,11,2017,"CT",973,"2017-11-12",False
"Chae","Jelly",13,10,2016,"NJ",756,"2016-10-13",False
"Chae","Ham",11,4,2017,"NY",464,"2017-04-11",False
"Mia","Fish",25,9,2017,"NJ",56,"2017-09-25",True
"Mia","Dates",15,7,2018,"PA",523,"2018-07-15",True
"Claire","Fish",26,11,2018,"CT",763,"2018-11-26",False
"Dan","Butter",4,2,2018,"NJ",419,"2018-02-04",False
"Sam","Jelly",5,7,2020,"PA",156,"2020-07-05",True
"Wally","Cherry",3,4,2020,"CT",664,"2020-04-03",False
"Chae","Apple",2,12,2017,"NJ",567,"2017-12-02",False
"Helen","Butter",28,7,2020,"PA",337,"2020-07-28",True
"Chae","Eggs",2,2,2018,"CT",665,"2018-02-02",True
"Wally","Cherry",29,5,2017,"NY",738,"2017-05-29",True
"Dan","Dates",31,5,2019,"CT",484,"2019-05-31",False
"Chae","Dates",17,6,2020,"NJ",584,"2020-06-17",False
"Dan","Grapes",11,9,2018,"CT",966,"2018-09-11",True
"Wally","Ham",18,10,2018,"NY",461,"2018-10-18",False
"Helen","Ham",15,11,2019,"CT",392,"2019-11-15",False
"Helen","Grapes",10,12,2018,"PA",545,"2018-12-10",True
"Claire","Grapes",1,10,2017,"CT",477,"2017-10-01",True
"Helen","Ham",24,8,2017,"NJ",826,"2017-08-24",False
"Helen","Cherry",30,6,2018,"CT",226,"2018-06-30",False
"Emily","Cherry",22,1,2018,"NY",306,"2018-01-22",False
"Dan","Fish",1,12,2017,"NJ",184,"2017-12-01",False
"Sam","Ham",29,3,2018,"CT",735,"2018-03-29",False
"Sam","Ice",7,8,2017,"CT",353,"2017-08-07",True
"Claire","Jelly",1,11,2019,"CT",200,"2019-11-01",True
"Helen","Ice",18,11,2018,"NJ",704,"2018-11-18",True
"Wally","Ham",5,8,2018,"NJ",907,"2018-08-05",True
"Dan","Apple",14,10,2020,"PA",261,"2020-10-14",False
"Dan","Eggs",27,8,2019,"PA",129,"2019-08-27",True
"Dan","Apple",16,3,2018,"CT",61,"2018-03-16",False
"Claire","Jelly",18,10,2016,"NY",677,"2016-10-18",False
"Claire","Butter",17,11,2019,"NJ",833,"2019-11-17",False
"Mia","Eggs",23,1,2020,"NJ",757,"2020-01-23",True
"Claire","Jelly",23,12,2017,"CT",821,"2017-12-23",True
"Boo","Dates",4,3,2018,"CT",808,"2018-03-04",True
"Dan","Jelly",20,1,2020,"PA",972,"2020-01-20",True
"Sam","Grapes",10,7,2018,"PA",518,"2018-07-10",False
"Mia","Eggs",9,6,2019,"NJ",519,"2019-06-09",True
"Helen","Cherry",16,1,2017,"CT",220,"2017-01-16",True
"Boo","Ham",21,1,2016,"CT",983,"2016-01-21",True
"Chae","Butter",7,11,2020,"NJ",347,"2020-11-07",False
"Mia","Jelly",26,5,2019,"CT",628,"2019-05-26",True
"Emily","Ice",9,6,2016,"CT",623,"2016-06-09",False
"Sam","Ham",21,12,2017,"PA",293,"2017-12-21",True
"Emily","Ham",9,2,2016,"CT",916,"2016-02-09",False
"Dan","Ice",5,5,2020,"PA",442,"2020-05-05",False
"Claire","Cherry",28,8,2017,"NY",961,"2017-08-28",False
"Chae","Butter",21,10,2019,"CT",422,"2019-10-21",False
"Boo","Ice",30,1,2020,"PA",642,"2020-01-30",True
"Boo","Dates",16,4,2016,"PA",990,"2016-04-16",True
"Emily","Butter",13,8,2019,"NJ",400,"2019-08-13",False
"Helen","Ham",5,3,2019,"PA",578,"2019-03-05",True
"Chae","Ham",2,3,2018,"NJ",700,"2018-03-02",True
"Claire","Cherry",8,5,2020,"PA",373,"2020-05-08",False
"Claire","Apple",27,5,2019,"NJ",328,"2019-05-27",False
"Chae","Ice",13,5,2017,"NJ",413,"2017-05-13",True
"Sam","Cherry",13,8,2019,"CT",814,"2019-08-13",True
"Helen","Cherry",10,4,2017,"PA",981,"2017-04-10",False
"Boo","Fish",3,8,2019,"CT",121,"2019-08-03",True
"Mia","Jelly",6,7,2018,"NY",981,"2018-07-06",True
"Sam","Ham",30,3,2018,"CT",50,"2018-03-30",True
"Dan","Dates",26,8,2020,"NY",457,"2020-08-26",True
"Mia","Jelly",17,5,2016,"NJ",3,"2016-05-17",True
"Mia","Fish",5,10,2016,"CT",271,"2016-10-05",False
"Chae","Grapes",26,9,2020,"CT",37,"2020-09-26",False
"Emily","Apple",21,12,2017,"CT",662,"2017-12-21",True
"Helen","Ice",9,9,2020,"NY",964,"2020-09-09",True
"Chae","Ice",23,11,2018,"NY",998,"2018-11-23",False
"Wally","Grapes",28,6,2020,"NY",414,"2020-06-28",False
"Boo","Apple",3,1,2018,"NJ",759,"2018-01-03",False
"Sam","Grapes",13,5,2018,"CT",740,"2018-05-13",False
"Emily","Ice",10,1,2020,"NY",487,"2020-01-10",False
"Wally","Cherry",9,12,2018,"NY",837,"2018-12-09",True
"Emily","Cherry",26,4,2020,"CT",972,"2020-04-26",True
"Claire","Cherry",19,3,2017,"CT",467,"2017-03-19",True
"Dan","Fish",13,7,2020,"CT",602,"2020-07-13",False
"Helen","Ham",14,8,2018,"CT",695,"2018-08-14",False
"Helen","Dates",23,9,2016,"CT",923,"2016-09-23",True
"Sam","Dates",17,11,2018,"PA",947,"2018-11-17",True
"Chae","Grapes",7,4,2017,"NJ",69,"2017-04-07",True
"Mia","Butter",13,4,2017,"NY",786,"2017-04-13",False
"Sam","Jelly",27,1,2017,"PA",619,"2017-01-27",True
"Emily","Cherry",21,7,2018,"NY",909,"2018-07-21",True
"Dan","Fish",6,11,2020,"NJ",844,"2020-11-06",True
"Emily","Ham",20,4,2019,"PA",816,"2019-04-20",True
"Wally","Dates",3,3,2016,"NJ",643,"2016-03-03",False
"Chae","Fish",9,5,2018,"NJ",598,"2018-05-09",False
"Mia","Ham",22,7,2019,"NY",462,"2019-07-22",False
"Mia","Cherry",31,1,2018,"NY",644,"2018-01-31",True
"Claire","Cherry",10,4,2016,"CT",266,"2016-04-10",True
"Sam","Ice",10,5,2016,"NY",913,"2016-05-10",True
"Chae","Apple",5,5,2016,"PA",921,"2016-05-05",False
"Sam","Eggs",28,10,2016,"CT",912,"2016-10-28",False
"Dan","Ham",22,6,2016,"NJ",305,"2016-06-22",True
"Helen","Jelly",13,2,2017,"CT",663,"2017-02-13",True
"Wally","Apple",22,4,2020,"CT",553,"2020-04-22",False
"Claire","Cherry",9,7,2019,"CT",707,"2019-07-09",True
"Claire","Ham",28,4,2019,"NJ",878,"2019-04-28",False
"Boo","Eggs",16,12,2018,"CT",727,"2018-12-16",True
"Mia","Butter",20,11,2018,"PA",826,"2018-11-20",False
"Wally","Butter",15,3,2020,"NJ",922,"2020-03-15",True
"Wally","Cherry",11,7,2016,"NY",319,"2016-07-11",False
"Emily","Cherry",6,2,2019,"NY",735,"2019-02-06",False
"Helen","Cherry",17,6,2018,"NY",924,"2018-06-17",False
"Emily","Apple",25,10,2020,"NY",596,"2020-10-25",False
"Chae","Butter",27,1,2019,"NJ",251,"2019-01-27",True
"Boo","Cherry",22,8,2017,"PA",314,"2017-08-22",True
"Helen","Eggs",1,5,2019,"CT",753,"2019-05-01",False
"Chae","Grapes",16,4,2016,"CT",607,"2016-04-16",True
"Boo","Grapes",15,2,2017,"CT",319,"2017-02-15",False
"Claire","Apple",14,4,2016,"NY",435,"2016-04-14",True
"Wally","Dates",4,6,2017,"NJ",438,"2017-06-04",True
"Sam","Cherry",5,2,2016,"NJ",15,"2016-02-05",True
"Wally","Ice",18,7,2019,"CT",641,"2019-07-18",False
"Wally","Ham",11,6,2019,"NY",472,"2019-06-11",True
"Sam","Apple",30,9,2016,"NJ",916,"2016-09-30",False
"Helen","Fish",28,7,2019,"NJ",918,"2019-07-28",False
"Helen","Apple",12,8,2017,"PA",260,"2017-08-12",True
"Chae","Butter",11,2,2019,"PA",501,"2019-02-11",True
"Dan","Eggs",23,7,2017,"PA",593,"2017-07-23",False
"Claire","Fish",21,3,2016,"CT",964,"2016-03-21",False
"Emily","Fish",29,8,2020,"CT",629,"2020-08-29",True
"Wally","Apple",3,8,2018,"NY",773,"2018-08-03",False
"Sam","Ham",27,7,2020,"CT",55,"2020-07-27",False
"Wally","Ham",27,11,2020,"CT",804,"2020-11-27",True
"Boo","Eggs",31,1,2017,"CT",608,"2017-01-31",True
"Mia","Cherry",17,5,2016,"NJ",990,"2016-05-17",True
"Sam","Dates",20,8,2018,"PA",289,"2018-08-20",True
"Wally","Dates",18,12,2018,"PA",290,"2018-12-18",False
"Mia","Dates",19,3,2019,"PA",634,"2019-03-19",True
"Dan","Cherry",30,6,2019,"PA",487,"2019-06-30",True
"Helen","Butter",7,1,2017,"CT",18,"2017-01-07",False
